Place Name,Latitude,Longitude,No of Visitors
"Jackson Hole, WY, USA",43.582767,-110.821999,369745
"Mojave National Preserve, Kelso, CA, USA",35.141689,-115.510399,226665
"Joshua Tree National Park, California, USA",33.881866,-115.90065,473405
"Buffalo National River, St Joe, AR, USA",35.985512,-92.757652,447490
"Hot Springs National Park, Hot Springs, AR, USA",34.52153,-93.042267,259515
"Kartchner Caverns State Park, Benson, AZ, USA",31.837551,-110.347382,252945
"Navajo Nation Reservation, New Mexico, USA",36.075321,-109.19693,255865
"Sipsey Wilderness, Mt Hope, AL, USA",34.332035,-87.434799,221555
"Wrangell-St. Elias National Park & Preserve, Alaska, USA",61.710445,-142.985687,380695
"Lake Clark National Park and Preserve, Port Alsworth, AK, USA",60.412697,-154.323502,288715
"Katmai National Park and Preserve, King Salmon, AK, USA",58.597813,-154.693756,259150
"Glacier Bay National Park and Preserve, Alaska, USA",58.665806,-136.900208,249660
"Turtle Mountain, ND, USA",48.852882,-99.803535,403690
"Odiorne Point State Park, Rye, NH, USA",43.049023,-70.720192,216080
"Channel Islands National Park, Ventura, CA, USA",33.998028,-119.772949,256595
"Snowdonia National Park, Gwynedd, UK",52.918011,-3.89122,236885
"Maplewood State Park, Pelican Rapids, MN, USA",46.520966,-95.951576,212065
"Bear Butte State Park, Sturgis, SD, USA",44.475296,-103.424309,248200
"Okefenokee National Wildlife Refuge, Folkston, GA, USA",30.77323,-82.292732,376315
"Denali National Park and Preserve, Alaska, USA",63.129887,-151.197418,444205
"Acadia National Park, Maine, USA",44.338974,-68.27343,535455
"Topanga State Park, Topanga, CA, USA",34.093182,-118.587318,218635
"Gates of the Arctic National Park and Preserve, AK, USA",67.915199,-153.46373,233235
"Kaloko-Honokōhau National Historical Park, Kailua-Kona, HI, USA",19.678328,-156.020477,448585
"Pedernales Falls State Park, Johnson City, TX, USA",30.308069,-98.257729,407705
"Whiskeytown National Recreation Area, Whiskeytown, CA, USA",40.633495,-122.564247,278860
"Mesa Verde National Park, Mesa Verde, CO, USA",37.230873,-108.461838,435445
"Arches National Park, Utah, USA",38.733082,-109.592514,523775
"Mount Rainier National Park, Washington, USA",46.879967,-121.726906,216445
"Kenai Fjords National Park, Alaska, USA",60.043777,-149.81636,542390
"Anahuac National Wildlife Refuge, Anahuac, TX, USA",29.6103,-94.449081,536185
"Bandelier National Monument, Los Alamos, NM, USA",35.767288,-106.311607,261340
"Summit Bechtel Reserve, Glen Jean, WV, USA",37.916035,-81.123047,433985
"Yellowstone National Park, WY, USA",44.427895,-110.588379,539835
"Rothrock State Forest, State College, PA, USA",40.720585,-77.826965,183595
"Great Smoky Mountains National Park, Tennessee, USA",35.611763,-83.489548,508810
"Zion National Park, Utah, USA",37.317207,-113.022537,226300
"Yosemite National Park, California, USA",37.865101,-119.53833,316455
"Yellowstone National Park, Wyoming, USA",44.429764,-110.584663,505890
"Haleakalā National Park, Hawaii, USA",20.701283,-156.173325,368650
"Malibu Creek State Park, Calabasas, CA, USA",34.105156,-118.731316,485815
"Manti-La Sal National Forest, Price, UT, USA",39.18705,-111.37989,240170
"Cherry Creek State Park, Aurora, CO, USA",39.639973,-104.831863,204765
"Kissimmee Prairie Preserve State Park, Okeechobee, FL, USA",27.612417,-81.053383,424495
"Garden of Gods, Colorado Springs, CO, USA",38.87384,-104.886665,473040
"Petrified Forest National Park, Arizona, USA",34.909988,-109.806793,428145
"Fort Berthold Indian Reservation, ND, USA",47.68388,-102.354126,506620
"Chattahoochee National Forest, Suches, GA, USA",34.765972,-84.143517,517205
"Little Sandy National Wildlife Refuge, Lindale, TX, USA",32.590797,-95.273666,361715
"Siuslaw National Forest, Tidewater, OR, USA",44.358715,-123.829994,355875
,,,
Search for a Place,,,
